model,release,sae_id,url
gemma-2-2b,gemma-scope-2b-pt-res-canonical,layer_0/width_16k/canonical,https://drive.google.com/drive/folders/12C3H8EVuKXY6tdcWm5LjNKPvi_rnPxRG?usp=sharing
gemma-2-2b,gemma-scope-2b-pt-res-canonical,layer_12/width_16k/canonical,https://drive.google.com/drive/folders/13UQ80g61CSf5C0FYPsZl_bHdQbyMjX4k?usp=sharing
gemma-2-2b,gemma-scope-2b-pt-res-canonical,layer_12/width_32k/canonical,https://drive.google.com/drive/folders/13WZLEOs87a-9_9knCQppBdJSpdBiFXIj?usp=sharing
gemma-2-2b,gemma-scope-2b-pt-res-canonical,layer_12/width_65k/canonical,https://drive.google.com/drive/folders/12H7hTdXOzgzinvfCtncMU9HGIUStaIZG?usp=sharing
gemma-2-2b,gemma-scope-2b-pt-res-canonical,layer_18/width_16k/canonical,https://drive.google.com/drive/folders/122W1Jr52HvRw7GdRuyRkBMPu5nggOWBk?usp=sharing
gemma-2-2b,gemma-scope-2b-pt-res-canonical,layer_21/width_16k/canonical,https://drive.google.com/drive/folders/12XrXvktbpyNjkYJj1tVnls0y3MHRQVLB?usp=sharing
gemma-2-2b,gemma-scope-2b-pt-res,layer_12/width_16k/average_l0_22,https://drive.google.com/drive/folders/12abfT0zP4VO-SsbqXQnDl22Wp9btBWcx?usp=sharing
gemma-2-2b,gemma-scope-2b-pt-res,layer_12/width_16k/average_l0_41,https://drive.google.com/drive/folders/13EDy-fsd5TyJjbrZZg0XfF-owgTy8X5M?usp=sharing
gemma-2-2b,gemma-scope-2b-pt-res,layer_12/width_16k/average_l0_82,https://drive.google.com/drive/folders/13HqOQrEzwFnuamReV73XfHaIA4YmaTHS?usp=sharing
gemma-2-2b,gemma-scope-2b-pt-res,layer_12/width_16k/average_l0_176,https://drive.google.com/drive/folders/125id4PMrP33CrFRV2SZK1WEDeCowg24U?usp=sharing
gemma-2-2b,gemma-scope-2b-pt-res,layer_12/width_16k/average_l0_445,https://drive.google.com/drive/folders/12XK4hW09q506thWfbuAmibyos5a6Ioq5?usp=drive_link
gpt2-small,res-jb,blocks.0.hook_resid_pre,https://drive.google.com/drive/folders/122JVzZ_4qTj5hbbDcBR8OH1ZyHg0podM?usp=sharing
gpt2-small,res-jb-feature-splitting,blocks_8_hook_resid_pre_24576,https://drive.google.com/drive/folders/12VV0Qp5LDP4vYb9qpUT2hJz8yQv15mrq?usp=sharing
